,open,high,low,close,volume
2020/5/7,1299.4,1314.99,1293,1312,18355
2020/5/8,1317,1338,1308.51,1314.61,20260
2020/5/11,1320,1335,1313.67,1323.01,14939
2020/5/12,1318,1334.99,1316,1333,14024
2020/5/13,1333,1337.99,1322.88,1335.95,14263
2020/5/14,1330,1334.88,1325.11,1326.59,12530
2020/5/15,1329,1333.5,1301.88,1313,17170
2020/5/18,1306,1351.5,1305.13,1346.21,19271
2020/5/19,1364,1364,1338,1346.11,13509
2020/5/20,1346.11,1359.18,1336.81,1351,13324
2020/5/21,1355,1371.96,1352.86,1366.1,14260
2020/5/22,1366,1366.1,1322.88,1328.2,22327
2020/5/25,1330,1366.58,1321,1362.9,21129
2020/5/26,1369.88,1369.95,1355,1358,13841
2020/5/27,1359,1360,1333,1338,16530
2020/5/28,1337.97,1346.94,1321.13,1344,15684
2020/5/29,1332.1,1369.98,1332.1,1366.6,19514
2020/6/1,1381,1420.1,1381,1419.5,22375
2020/6/2,1416.01,1427.9,1406.66,1410.71,16702
2020/6/3,1415,1417.5,1395.77,1399.3,17569
2020/6/4,1396,1411,1396,1407.99,12043
2020/6/5,1405.25,1428.88,1401.08,1425,12312
2020/6/8,1425,1435,1402.01,1406.1,19812
2020/6/9,1408,1425,1400.68,1416.55,14769
2020/6/10,1425,1433.33,1417,1423.66,14316
2020/6/11,1411.01,1417.99,1396.99,1400.46,19608
2020/6/12,1387.17,1416.37,1383.31,1416.37,17223
2020/6/15,1402,1411.6,1381,1383,24144
2020/6/16,1398.5,1414,1393.13,1403.88,22929
2020/6/17,1411.86,1411.9,1395.02,1405,13590
2020/6/18,1404.9,1413.2,1400.1,1413,14424
2020/6/19,1420,1445.2,1415.1,1439.84,23435
2020/6/22,1435.1,1443.89,1433.2,1439,15840
2020/6/23,1435,1482,1433.52,1474.5,19052
2020/6/24,1463.6,1465.71,1445,1460.01,15528
2020/6/29,1448,1466,1437.01,1463.17,17947
2020/6/30,1463.12,1468.98,1455.12,1462.88,12994
2020/7/1,1468,1506.1,1464.02,1494.27,20775
2020/7/2,1499,1550.9,1495,1544,29391
2020/7/3,1550,1552.5,1516.88,1541.79,23758
2020/7/6,1538,1616,1531.81,1600,33210
2020/7/7,1603.09,1744.82,1601,1688,41503
2020/7/8,1680,1719,1660,1681.34,40411
2020/7/9,1691,1712,1682,1706,22275
2020/7/10,1689,1736.6,1688.94,1713.85,23745
2020/7/13,1714.68,1787,1714.68,1781.99,33309
2020/7/14,1781.99,1782.03,1748.4,1762,26781
2020/7/15,1744.88,1782.6,1744.71,1752.53,27287
2020/7/16,1729.91,1729.91,1600,1614,61527
2020/7/17,1620,1672.59,1620,1648.05,37569
2020/7/20,1652.5,1663.99,1588.88,1636.96,30163
2020/7/21,1646.64,1702.8,1630.99,1668,24488
2020/7/22,1658,1710,1658,1678.08,22876
2020/7/23,1672,1691,1650,1676,21563
2020/7/24,1654.85,1666,1585,1595.3,49269
2020/7/27,1616.01,1629.8,1600,1622.55,22437
2020/7/28,1630,1680,1630,1670,29603
2020/7/29,1690,1690,1633,1672,31392
2020/7/30,1671.2,1700.59,1670.5,1680,24026
2020/7/31,1685,1705,1646,1678.18,26966
2020/8/3,1686.88,1696.58,1660,1668,23392
2020/8/4,1675,1682.99,1660,1669.99,20468
2020/8/5,1662.09,1673.09,1643.31,1668,17095
2020/8/6,1670,1674.03,1630,1637.96,23172
2020/8/7,1644.77,1649.67,1598.5,1631,23430
2020/8/10,1627.97,1644.96,1608.11,1633.99,15043
2020/8/11,1640,1666.43,1640,1642.51,20429
2020/8/12,1633,1641,1605.25,1626.95,18919
2020/8/13,1630,1638.88,1609,1635,13441
2020/8/14,1639.9,1665.7,1631,1661,20440
2020/8/17,1674,1704.35,1670,1690,25932
2020/8/18,1697.38,1720,1691,1705,19670
2020/8/19,1700,1717,1682.99,1687,17507
2020/8/20,1674,1679,1656,1664,16055
2020/8/21,1673,1698,1671,1676,16440
2020/8/24,1700,1708,1691.01,1696.35,19636
2020/8/25,1704.8,1746.78,1698.63,1727,24834
2020/8/26,1734,1745,1715.02,1727,17205
2020/8/27,1731.99,1733.98,1705,1731,14218
2020/8/28,1731,1764,1721.5,1757,23192
2020/8/31,1770.58,1816,1770.58,1786.5,26718
2020/9/1,1792,1802,1775.01,1801.98,20257
2020/9/2,1825,1828,1770,1795,21740
2020/9/3,1795,1812,1779.7,1793,19376
2020/9/4,1766,1776.99,1746,1770,20189
2020/9/7,1760,1777.99,1703.97,1723.5,20514
2020/9/8,1732,1737.8,1677.07,1711.4,22234
2020/9/9,1699.67,1711,1680.04,1688,16651
2020/9/10,1703.74,1720,1700,1705.8,17296
2020/9/11,1688,1736,1688,1733,18244
2020/9/14,1745,1769,1730.58,1766,19663
2020/9/15,1769.99,1769.99,1747.75,1760,13812
2020/9/16,1760,1764.81,1719,1725.1,15260
2020/9/17,1700,1700,1658,1670.52,35657
2020/9/18,1665,1695,1635.01,1695,30451
2020/9/21,1692.76,1692.76,1666.66,1666.8,18342
2020/9/22,1650,1686.98,1650,1665.69,16274
2020/9/23,1635,1666.01,1621.02,1649.98,25043
2020/9/24,1635.97,1658.88,1626.8,1629.32,20616
2020/9/25,1630,1650,1625,1635.11,15688
2020/9/28,1635.19,1668.5,1635.19,1661,16403
2020/9/29,1669.33,1669.4,1652.3,1652.3,14103
2020/9/30,1660,1691.9,1660,1668.5,18533
2020/10/9,1692,1706.42,1688,1696,21949
2020/10/12,1700,1750.61,1700,1750.61,23156
2020/10/13,1750.62,1750.62,1735,1739,13536
2020/10/14,1740,1746.98,1726,1729,12657
2020/10/15,1721.13,1735,1721,1725,11950
2020/10/16,1725,1734.58,1703,1712,12999
2020/10/19,1725,1733.98,1691.9,1699,14235
2020/10/20,1699.99,1734.97,1695,1734,17845
2020/10/21,1734.1,1742.15,1723,1733.33,12982
2020/10/22,1730,1745,1715.51,1742.5,13637
2020/10/23,1740.78,1747.59,1714,1715.33,12953
2020/10/26,1619,1662.92,1600,1643,36664
2020/10/27,1643,1644,1616.12,1625,32780
2020/10/28,1626,1677,1625.08,1664.81,24041
2020/10/29,1654.84,1708,1647,1676,26423
2020/10/30,1678,1696,1665,1670.02,16838
2020/11/2,1675,1695,1672,1674.01,14659
2020/11/3,1684.99,1705.9,1675.5,1695,16348
2020/11/4,1700,1704,1685,1699.58,11871
2020/11/5,1717,1732.48,1712.1,1721.9,15962
2020/11/6,1730.55,1731.59,1690,1700.62,16458
2020/11/9,1701.38,1750.68,1700.62,1742.57,25056
2020/11/10,1752.92,1764.48,1736,1745,17079
2020/11/11,1745,1777.5,1731,1731.35,20584
2020/11/12,1730.01,1750,1722.27,1734.79,18378
2020/11/13,1724,1728.88,1691,1705,21879
2020/11/16,1711,1730.05,1697.26,1730.05,20997
2020/11/17,1740,1742.35,1701.07,1715.8,16771
2020/11/18,1715,1720.53,1683.16,1693.65,24030
2020/11/19,1684.5,1725,1680.6,1720.19,17916
2020/11/20,1720,1736,1712.65,1719.96,14027
2020/11/23,1771.01,1809.9,1771.01,1790.21,35096
2020/11/24,1769.99,1782.5,1751.47,1763.5,20068
2020/11/25,1761.5,1768.88,1724,1726.88,19154
2020/11/26,1726,1739.99,1725.18,1734.39,13785
2020/11/27,1732.66,1740.03,1718,1737.9,12983
2020/11/30,1735,1738.9,1713.91,1713.91,19924
2020/12/1,1726,1738.99,1720.01,1737,18018
2020/12/2,1746,1749,1731,1738.01,15562
2020/12/3,1738.01,1755.66,1732.1,1749,18323
2020/12/4,1752,1800.1,1752,1793.11,32666
2020/12/7,1802.7,1840.39,1800.55,1812.4,32136
2020/12/8,1815,1875,1813,1850,29695
2020/12/9,1865.95,1866,1839,1840,19763
2020/12/10,1840,1849.77,1828,1832.9,19654
2020/12/11,1834.78,1837.32,1804.81,1820,18342
2020/12/14,1827.77,1829.98,1815,1829,19695
2020/12/15,1833.5,1837.22,1805,1816.01,17665
2020/12/16,1830.5,1845.67,1820.21,1840,18138
2020/12/17,1845.5,1868,1840,1865.51,20370
2020/12/18,1851.81,1869.01,1841.08,1845,17867
2020/12/21,1840,1851.23,1837.6,1842.5,17399
2020/12/22,1849.97,1898.99,1842.51,1881,24890
2020/12/23,1897.99,1906.2,1821.02,1841.65,30733
2020/12/24,1818,1858.88,1795.02,1830.34,24719
2020/12/25,1802.99,1847,1800,1830,15449
2020/12/28,1826.6,1888.8,1826.05,1873,22027
2020/12/29,1873,1886.8,1855,1867,15052
2020/12/30,1870,1933,1869.99,1933,22103
2020/12/31,1941,1998.98,1939,1998,26085
